Id,Category,Longitude,Latitude
1,NA,145.1389,-37.91028
2,NA,145.1389,-37.91028
3,NA,145.1389,-37.91028
4,NA,145.13439,-37.91057
5,NA,145.129814,-37.909909
6,NA,145.1367579,-37.9103087
7,NA,145.129814,-37.909909
8,NA,145.13439,-37.91057
9,NA,145.13439,-37.91057
10,NA,145.13439,-37.91057
11,NA,145.13439,-37.91057
12,NA,145.1367579,-37.9103087
13,NA,145.1367579,-37.9103087
14,NA,145.1367579,-37.9103087
15,NA,145.13439,-37.91057
16,NA,145.13439,-37.91057
17,NA,145.129814,-37.909909
18,NA,145.13439,-37.91057
19,NA,145.13439,-37.91057
20,NA,145.1367579,-37.9103087
21,NA,145.1367579,-37.9103087
22,NA,145.138036,-37.907566
23,NA,145.1367579,-37.9103087
24,NA,145.137262,-37.907962
25,NA,145.13439,-37.91057
26,NA,145.1367579,-37.9103087
27,NA,145.1367579,-37.9103087
28,NA,145.13439,-37.91057
29,NA,145.1400375,-37.9096437
30,NA,145.1367579,-37.9103087
31,NA,145.1367579,-37.9103087
32,NA,145.1425615,-37.9082385
33,NA,145.129814,-37.909909
34,NA,145.129814,-37.909909
35,NA,145.13439,-37.91057
36,NA,145.13439,-37.91057
37,NA,145.13439,-37.91057
38,NA,145.1367579,-37.9103087
39,NA,145.13439,-37.91057
40,NA,145.13439,-37.91057
41,NA,145.129814,-37.909909
42,NA,145.1367579,-37.9103087
43,NA,145.1367579,-37.9103087
44,NA,145.13439,-37.91057
45,NA,145.1367579,-37.9103087
46,NA,145.1367579,-37.9103087
47,NA,145.13439,-37.91057
48,NA,145.1367579,-37.9103087
49,NA,145.13439,-37.91057
50,NA,145.13439,-37.91057
51,NA,145.132019,-37.911427
52,NA,145.1367579,-37.9103087
53,NA,145.1367579,-37.9103087
54,NA,145.13439,-37.91057
55,NA,145.1367579,-37.9103087
56,NA,145.1367579,-37.9103087
57,NA,145.1367579,-37.9103087
58,NA,145.138036,-37.907566
59,NA,145.1367579,-37.9103087
60,NA,145.1367579,-37.9103087
61,NA,145.13439,-37.91057
62,NA,145.129814,-37.909909
63,NA,145.13439,-37.91057
64,NA,145.1367579,-37.9103087
65,NA,145.129814,-37.909909
66,NA,145.1367579,-37.9103087
67,NA,145.1367579,-37.9103087
68,NA,145.137413,-37.908027
69,NA,145.1367579,-37.9103087
70,NA,145.13439,-37.91057
71,NA,145.13439,-37.91057
72,NA,145.13439,-37.91057
73,NA,145.13439,-37.91057
74,NA,145.13439,-37.91057
75,NA,145.1282,-37.9107
76,NA,145.131663,-37.912261
77,NA,145.1367579,-37.9103087
78,NA,145.13439,-37.91057
79,NA,145.13439,-37.91057
80,NA,145.129814,-37.909909
81,NA,145.1367579,-37.9103087
82,NA,145.1367579,-37.9103087
83,NA,145.13439,-37.91057
84,NA,145.13439,-37.91057
85,NA,145.138543,-37.9085985
86,NA,145.13439,-37.91057
87,NA,145.13439,-37.91057
88,NA,145.13439,-37.91057
89,NA,145.13439,-37.91057
90,NA,145.129814,-37.909909
91,NA,145.13439,-37.91057
92,NA,145.129814,-37.909909
93,NA,145.13439,-37.91057
94,NA,145.1398,-37.9095
95,NA,145.130327,-37.911652
96,NA,145.1367579,-37.9103087
97,NA,145.138543,-37.9085985
98,NA,145.13439,-37.91057
99,NA,145.130327,-37.911652
100,NA,145.1367579,-37.9103087
101,NA,145.131663,-37.912261
102,NA,145.13439,-37.91057
103,NA,145.13439,-37.91057
104,NA,145.13439,-37.91057
105,NA,145.1374,-37.9083
106,NA,145.1400375,-37.9096437
107,NA,145.1367579,-37.9103087
108,NA,145.13439,-37.91057
109,NA,145.13439,-37.91057
110,NA,145.131663,-37.912261
111,NA,145.1367579,-37.9103087
112,NA,145.13439,-37.91057
113,NA,145.1400375,-37.9096437
114,NA,145.131663,-37.912261
115,NA,145.1367579,-37.9103087
116,NA,145.1367579,-37.9103087
117,NA,145.1367579,-37.9103087
118,NA,145.13439,-37.91057
119,NA,145.13439,-37.91057
120,NA,145.13439,-37.91057
121,NA,145.1367579,-37.9103087
122,NA,145.13439,-37.91057
123,NA,145.13439,-37.91057
124,NA,145.13439,-37.91057
125,NA,145.129814,-37.909909
126,NA,145.13439,-37.91057
127,NA,145.129814,-37.909909
128,NA,145.13439,-37.91057
129,NA,145.1425615,-37.9082385
130,NA,145.1367579,-37.9103087
131,NA,145.13439,-37.91057
132,NA,145.13439,-37.91057
133,NA,145.1367579,-37.9103087
134,NA,145.13439,-37.91057
135,NA,145.13439,-37.91057
136,NA,145.1425615,-37.9082385
137,NA,145.13439,-37.91057
138,NA,145.1367579,-37.9103087
139,NA,145.129814,-37.909909
140,NA,145.13439,-37.91057
141,NA,145.1367579,-37.9103087
142,NA,145.1367579,-37.9103087
143,NA,145.13439,-37.91057
144,NA,145.1367579,-37.9103087
145,NA,145.13439,-37.91057
146,NA,145.13439,-37.91057
147,NA,145.1400375,-37.9096437
148,NA,145.129814,-37.909909
149,NA,145.129814,-37.909909
150,NA,145.1400375,-37.9096437
151,NA,145.13439,-37.91057
